




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
MARTINS K                     3808                          2848                          74.79%
SUWANEE H                     3082                          2502                          81.18%
SUGAR HILL G                  2307                          1874                          81.23%
SUWANEE F                     3059                          2417                          79.01%
LAWRENCEVILLE L               3859                          2950                          76.44%
LAWRENCEVILLE M               4367                          3210                          73.51%
BAYCREEK G                    3865                          3085                          79.82%
BAYCREEK H                    4368                          3558                          81.46%
BAYCREEK I                    4195                          3284                          78.28%
BERKSHIRE Q                   1392                          1146                          82.33%
GOODWINS I                    2139                          1739                          81.30%
DULUTH K                      1965                          1179                          60.00%
HARBINS C                     1951                          1621                          83.09%
ROCKYCREEK C                  3895                          3179                          81.62%
LAWRENCEVILLE N               1798                          1311                          72.91%
PUCKETTS D                    2595                          2109                          81.27%
SUWANEE G                     2840                          2247                          79.12%
BAYCREEK J                    3384                          2644                          78.13%
Total:                        430935                        332149                        77.08%

                                                                                                                                                                                                                                                                              President of the United States
                                                            DONALD J. TRUMP                                                                                                                                                                     HILLARY CLINTON                                                                                                                                                                     GARY JOHNSON                                                                                                                                                                        
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person             Advance in Person 2           Provisional                   Choice Total                  Total                         
HARBINS A                     4688                          856                           101                           718                           345                           6                             2026                          623                           43                            356                           444                           4                             1470                          105                           1                             37                            13                            0                             156                           3652                          
ROCKBRIDGE A                  3006                          228                           48                            230                           32                            1                             539                           730                           48                            790                           128                           9                             1705                          44                            4                             12                            1                             0                             61                            2305                          
DACULA                        3648                          492                           50                            651                           107                           3                             1303                          567                           51                            528                           218                           4                             1368                          57                            4                             42                            6                             0                             109                           2780                          
SUWANEE A                     1291                          194                           27                            233                           11                            3                             468                           183                           18                            213                           21                            2                             437                           30                            3                             10                            3                             0                             46                            951                           
BAYCREEK A                    2272                          525                           77                            110                           299                           0                             1011                          321                           30                            73                            330                           1                             755                           35                            5                             9                             13                            0                             62                            1828                          
GOODWINS A                    3049                          515                           66                            168                           190                           1                             940                           630                           48                            141                           388                           8                             1215                          72                            3                             12                            10                            2                             99                            2254                          
DULUTH A                      3711                          663                           94                            313                           231                           8                             1309                          660                           103                           329                           371                           6                             1469                          79                            9                             30                            19                            1                             138                           2916                          
DUNCANS A                     3752                          880                           123                           968                           134                           4                             2109                          324                           54                            335                           99                            2                             814                           64                            8                             33                            3                             0                             108                           3031                          
PUCKETTS A                    3975                          739                           131                           1227                          35                            14                            2146                          303                           41                            501                           31                            5                             881                           59                            11                            37                            1                             0                             108                           3135                          
CATES A                       1948                          362                           124                           248                           199                           1                             934                           198                           30                            145                           147                           0                             520                           37                            1                             9                             8                             0                             55                            1509                          
BERKSHIRE A                   1760                          234                           23                            69                            56                            1                             383                           417                           36                            114                           269                           3                             839                           38                            2                             7                             5                             0                             52                            1274                          
BERKSHIRE B                   4080                          204                           79                            44                            382                           0                             709                           756                           77                            95                            1158                          14                            2100                          40                            7                             5                             50                            0                             102                           2911                          
DUNCANS C                     2518                          720                           93                            632                           62                            2                             1509                          232                           31                            185                           49                            0                             497                           40                            7                             29                            2                             0                             78                            2084                          
GARNERS A                     2910                          540                           103                           597                           81                            4                             1325                          344                           45                            422                           75                            3                             889                           61                            10                            47                            3                             0                             121                           2335                          
LAWRENCEVILLE A               2889                          363                           130                           12                            382                           4                             891                           397                           194                           17                            438                           6                             1052                          41                            5                             2                             20                            2                             70                            2013                          
LAWRENCEVILLE B               3653                          374                           65                            50                            435                           2                             926                           607                           69                            62                            1007                          9                             1754                          35                            8                             1                             27                            0                             71                            2751                          
MARTINS A                     2371                          206                           19                            32                            106                           1                             364                           661                           44                            55                            467                           10                            1237                          38                            1                             4                             15                            0                             58                            1659                          
MARTINS B                     2307                          322                           33                            25                            181                           3                             564                           597                           42                            47                            393                           8                             1087                          34                            2                             6                             8                             0                             50                            1701                          
MARTINS C                     1934                          361                           31                            69                            149                           1                             611                           501                           28                            78                            206                           5                             818                           35                            5                             10                            5                             0                             55                            1484                          
PINCKNEYVILLE A               1983                          152                           12                            7                             66                            2                             239                           586                           27                            26                            348                           5                             992                           38                            5                             4                             10                            1                             58                            1289                          
PINCKNEYVILLE B               2390                          164                           25                            14                            156                           6                             365                           533                           45                            20                            514                           13                            1125                          43                            1                             2                             20                            1                             67                            1557                          
PINCKNEYVILLE C               1568                          414                           72                            28                            97                            2                             613                           346                           57                            20                            199                           1                             623                           41                            4                             0                             6                             0                             51                            1287                          
PINCKNEYVILLE D               1512                          96                            10                            11                            73                            0                             190                           398                           14                            21                            290                           6                             729                           28                            1                             0                             9                             1                             39                            958                           
SUGAR HILL A                  2940                          674                           56                            481                           24                            12                            1247                          428                           50                            281                           33                            11                            803                           54                            5                             17                            5                             4                             85                            2135                          
SUGAR HILL B                  3787                          906                           93                            599                           41                            14                            1653                          574                           46                            375                           43                            10                            1048                          102                           3                             37                            2                             0                             144                           2845                          
HOG MOUNTAIN A                3646                          639                           46                            369                           118                           5                             1177                          657                           57                            398                           234                           5                             1351                          78                            7                             27                            6                             1                             119                           2647                          
HOG MOUNTAIN B                3661                          874                           98                            580                           211                           4                             1767                          500                           51                            308                           234                           4                             1097                          68                            6                             22                            11                            0                             107                           2971                          
ROCKYCREEK A                  4311                          842                           96                            868                           125                           3                             1934                          578                           39                            535                           144                           6                             1302                          80                            5                             36                            5                             2                             128                           3364                          
CATES B                       1417                          327                           68                            160                           123                           1                             679                           199                           25                            66                            80                            1                             371                           59                            5                             5                             9                             0                             78                            1128                          
CATES C                       2181                          305                           46                            248                           78                            1                             678                           397                           30                            420                           113                           4                             964                           21                            1                             14                            1                             0                             37                            1679                          
HOG MOUNTAIN D                2475                          579                           55                            287                           184                           2                             1107                          351                           36                            141                           175                           3                             706                           64                            5                             24                            5                             0                             98                            1911                          
BERKSHIRE D                   2310                          441                           92                            323                           71                            3                             930                           333                           64                            341                           95                            4                             837                           45                            7                             28                            1                             0                             81                            1848                          
BERKSHIRE E                   1674                          313                           60                            292                           45                            6                             716                           260                           32                            261                           43                            2                             598                           38                            1                             18                            3                             0                             60                            1374                          
BERKSHIRE F                   1573                          272                           35                            50                            51                            2                             410                           346                           32                            59                            184                           7                             628                           24                            6                             3                             6                             0                             39                            1077                          
CATES D                       2140                          472                           75                            272                           94                            2                             915                           371                           29                            235                           101                           4                             740                           37                            1                             14                            0                             1                             53                            1708                          
035 Cates D - 04              495                           102                           10                            53                            15                            1                             181                           88                            18                            51                            33                            1                             191                           10                            1                             0                             1                             0                             12                            384                           
CATES E                       2402                          491                           88                            333                           98                            0                             1010                          360                           44                            346                           117                           2                             869                           51                            7                             18                            4                             0                             80                            1959                          
PINCKNEYVILLE E               1563                          126                           10                            7                             56                            1                             200                           489                           13                            19                            239                           10                            770                           35                            2                             1                             8                             0                             46                            1016                          
PINCKNEYVILLE F               1648                          149                           21                            18                            103                           4                             295                           387                           36                            12                            260                           3                             698                           19                            0                             1                             8                             0                             28                            1021                          
DUNCANS D                     4888                          1230                          180                           1161                          99                            5                             2675                          467                           78                            395                           84                            4                             1028                          81                            12                            55                            4                             0                             152                           3855                          
PINCKNEYVILLE H               3376                          606                           103                           83                            366                           7                             1165                          646                           113                           62                            520                           1                             1342                          66                            12                            4                             31                            1                             114                           2621                          
BAYCREEK B                    4331                          601                           70                            339                           174                           5                             1189                          864                           62                            731                           399                           13                            2069                          45                            5                             11                            10                            1                             72                            3330                          
LAWRENCEVILLE C               2359                          528                           70                            241                           225                           0                             1064                          279                           31                            131                           180                           3                             624                           79                            5                             14                            8                             1                             107                           1795                          
MARTINS D                     1521                          100                           19                            5                             38                            1                             163                           487                           35                            22                            250                           9                             803                           18                            1                             0                             6                             1                             26                            992                           
ROCKBRIDGE B                  3144                          273                           54                            237                           53                            3                             620                           735                           47                            665                           173                           11                            1631                          42                            4                             13                            5                             0                             64                            2315                          
