




Precinct                      Registered Voters             Ballots Cast                  Voter Turnout                 
Mableton 02                   2162                          1515                          70.07%
Mableton 03                   2384                          1873                          78.57%
Mableton 04                   1350                          1114                          82.52%
Mabry 01                      1519                          1294                          85.19%
Macland 01                    3119                          2388                          76.56%
Murdock 01                    3415                          2934                          85.92%
McEachern 01                  2676                          2191                          81.88%
McCleskey 01                  1518                          1286                          84.72%
McClure 01                    1364                          1152                          84.46%
Marietta 1A                   2924                          1863                          63.71%
Marietta 2A                   1899                          1640                          86.36%
Marietta 2B                   3580                          2750                          76.82%
Marietta 3A                   5009                          3876                          77.38%
Marietta 4A                   1717                          1507                          87.77%
Marietta 4B                   1701                          1358                          79.84%
Marietta 4C                   2359                          1999                          84.74%
Marietta 5A                   2112                          1785                          84.52%
Marietta 5B                   2010                          1295                          64.43%
Marietta 6A                   1949                          1323                          67.88%
Marietta 6B                   2346                          1977                          84.27%
Marietta 7A                   2667                          1590                          59.62%
Mars Hill 01                  2783                          2214                          79.55%
Mars Hill 02                  2325                          1804                          77.59%
Mount Bethel 01               3618                          3078                          85.07%
Mount Bethel 03               2731                          2263                          82.86%
Mount Bethel 04               2681                          2222                          82.88%
North Cobb 01                 1889                          1493                          79.04%
Nickajack 01                  3921                          3028                          77.23%
Norton Park 01                3625                          2690                          74.21%
Nicholson 01                  2082                          1666                          80.02%
Oakdale 01                    3234                          2648                          81.88%
Oregon 01                     1418                          1229                          86.67%
Oregon 02                     4354                          3343                          76.78%
Oregon 03                     2758                          1876                          68.02%
Oregon 04                     3430                          2633                          76.76%
Oregon 05                     3173                          2587                          81.53%
Pebblebrook 01                3913                          2904                          74.21%
Powers Ferry 01               2830                          2257                          79.75%
Pine Mountain 01              2897                          2429                          83.85%
Pine Mountain 02              2629                          2242                          85.28%
Post Oak 01                   3181                          2678                          84.19%
Pope 01                       2711                          2270                          83.73%
Palmer 01                     2190                          1776                          81.10%
Powder Springs 1A             3369                          2690                          79.85%
Powder Springs 2A             2662                          1967                          73.89%
Powder Springs 3A             2809                          2171                          77.29%
Pitner 01                     2359                          1889                          80.08%
Rocky Mountain 01             2886                          2412                          83.58%
Riverside 01                  1489                          1036                          69.58%
Roswell 01                    4798                          4130                          86.08%
Roswell 02                    3219                          2729                          84.78%
Sandy Plains 01               2476                          2063                          83.32%
Shallowford Fall 01           2942                          2504                          85.11%
Simpson 01                    1670                          1401                          83.89%
Sewell Mill 01                2923                          2425                          82.96%
Sewell Mill 03                3761                          2804                          74.55%
Smyrna 1A                     3094                          2244                          72.53%
Smyrna 2A                     4138                          3213                          77.65%
Smyrna 3A                     5045                          3963                          78.55%
Smyrna 4A                     4989                          4182                          83.82%
Smyrna 5A                     2935                          2197                          74.86%
Smyrna 6A                     5054                          4129                          81.70%
Smyrna 7A                     5062                          4276                          84.47%
Sope Creek 01                 1953                          1695                          86.79%
Sope Creek 02                 3862                          3103                          80.35%
Sope Creek 03                 2533                          2093                          82.63%
Sweetwater 01                 2620                          2119                          80.88%
Sweetwater 02                 2343                          1598                          68.20%
Terrell Mill 01               4372                          3109                          71.11%
Timber Ridge 01               2221                          1919                          86.40%
Vaughn 01                     2761                          2292                          83.01%
Vinings 01                    1961                          1549                          78.99%
Vinings 02                    4920                          3743                          76.08%
Vinings 03                    3485                          2781                          79.80%
Vinings 04                    2995                          2458                          82.07%
Wade Green 02                 3798                          3019                          79.49%
Wileo 01                      2528                          2192                          86.71%
Total:                        424176                        335466                        79.09%

                                                                                                                                                                                                                                                                              President of the United States
                                                            DONALD J. TRUMP                                                                                                                                                                     HILLARY CLINTON                                                                                                                                                                     GARY JOHNSON                                                                                                                                                                        
Precinct                      Registered Voters             Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Provisional                   Choice Total                  Election Day                  Absentee by Mail              Advance in Person 1           Advance in Person 2           Provisional                   Choice Total                  Total                         
Acworth 1A                    4166                          843                           118                           181                           579                           1                             1722                          598                           90                            172                           505                           3                             1368                          103                           9                             13                            31                            0                             156                           3246                          
Acworth 1B                    3866                          837                           145                           162                           463                           3                             1610                          594                           85                            170                           303                           3                             1155                          90                            4                             4                             20                            0                             118                           2883                          
Acworth 1C                    3718                          621                           71                            99                            246                           2                             1039                          796                           56                            233                           447                           6                             1538                          89                            9                             7                             24                            0                             129                           2706                          
Addison 01                    2085                          468                           80                            195                           155                           3                             901                           357                           50                            209                           66                            1                             683                           54                            6                             11                            9                             0                             80                            1664                          
Austell 1A                    3578                          286                           28                            113                           96                            1                             524                           896                           52                            714                           335                           5                             2002                          35                            2                             7                             8                             0                             52                            2578                          
Bells Ferry 02                2518                          562                           90                            151                           238                           2                             1043                          390                           42                            172                           189                           4                             797                           96                            5                             11                            9                             1                             122                           1962                          
Bells Ferry 03                4866                          871                           197                           166                           875                           1                             2110                          611                           76                            186                           487                           2                             1362                          127                           18                            14                            66                            0                             225                           3697                          
Big Shanty 01                 2283                          500                           60                            152                           176                           2                             890                           398                           32                            148                           89                            0                             667                           66                            1                             11                            9                             0                             87                            1644                          
Big Shanty 02                 2595                          680                           75                            137                           294                           0                             1186                          411                           50                            139                           205                           0                             805                           78                            11                            4                             13                            1                             107                           2098                          
Baker 01                      3834                          821                           67                            105                           264                           3                             1260                          779                           68                            270                           344                           9                             1470                          120                           5                             12                            16                            0                             153                           2883                          
Birney 01                     2048                          274                           52                            168                           64                            0                             558                           474                           37                            299                           89                            5                             904                           47                            2                             11                            3                             0                             63                            1525                          
Birney 02                     3093                          443                           95                            201                           183                           0                             922                           616                           76                            459                           293                           4                             1448                          52                            3                             13                            13                            1                             82                            2452                          
Bryant 01                     1676                          28                            9                             33                            4                             0                             74                            397                           34                            702                           58                            6                             1197                          16                            1                             7                             0                             0                             24                            1295                          
Bryant 02                     4395                          72                            11                            54                            3                             1                             141                           1100                          69                            1173                          110                           5                             2457                          21                            3                             10                            1                             0                             35                            2633                          
Blackwell 01                  2212                          427                           85                            77                            286                           1                             876                           355                           41                            124                           247                           2                             769                           68                            3                             5                             24                            1                             101                           1746                          
Chattahoochee 01              4413                          412                           45                            122                           201                           5                             785                           1012                          138                           580                           406                           13                            2149                          96                            12                            18                            28                            2                             156                           3090                          
Cheatham Hill 02              2559                          616                           73                            461                           148                           3                             1301                          267                           53                            323                           60                            1                             704                           57                            7                             16                            8                             1                             89                            2094                          
Cheatham Hill 03              3387                          611                           109                           688                           100                           1                             1509                          403                           69                            602                           44                            1                             1119                          90                            10                            43                            8                             0                             151                           2779                          
Chalker 01                    4137                          618                           96                            228                           340                           4                             1286                          720                           96                            323                           329                           6                             1474                          128                           3                             14                            29                            1                             175                           2935                          
Clarkdale 01                  1502                          216                           42                            128                           62                            1                             449                           317                           24                            257                           68                            3                             669                           15                            0                             9                             1                             0                             25                            1143                          
Clarkdale 02                  4110                          502                           73                            320                           87                            1                             983                           1066                          54                            797                           146                           6                             2069                          41                            4                             16                            6                             0                             67                            3119                          
Cooper 01                     3769                          285                           58                            195                           87                            2                             627                           872                           74                            776                           278                           10                            2010                          45                            2                             22                            5                             1                             75                            2712                          
Chestnut Ridge 01             2768                          856                           136                           235                           184                           1                             1412                          445                           75                            197                           95                            0                             812                           74                            14                            13                            9                             0                             110                           2334                          
Dickerson 01                  2537                          716                           107                           94                            230                           1                             1148                          466                           101                           101                           155                           0                             823                           83                            8                             5                             7                             0                             103                           2074                          
Dobbins 01                    3308                          210                           30                            81                            79                            2                             402                           804                           82                            447                           311                           15                            1659                          46                            6                             15                            15                            2                             84                            2145                          
Dowell 01                     2738                          497                           60                            404                           99                            0                             1060                          393                           52                            448                           81                            2                             976                           68                            9                             32                            9                             0                             118                           2154                          
Dodgen 01                     1851                          563                           71                            127                           168                           2                             931                           315                           58                            100                           81                            0                             554                           41                            11                            5                             8                             0                             65                            1550                          
Durham 01                     3590                          1094                          135                           332                           495                           1                             2057                          368                           55                            149                           147                           1                             720                           77                            6                             14                            5                             1                             103                           2880                          
Davis 01                      1743                          505                           60                            146                           92                            2                             805                           289                           35                            124                           54                            0                             502                           52                            5                             10                            6                             0                             73                            1380                          
Eastside 01                   2651                          747                           111                           137                           236                           1                             1232                          470                           83                            116                           165                           1                             835                           73                            6                             4                             12                            0                             95                            2162                          
Eastside 02                   3556                          891                           141                           311                           308                           1                             1652                          554                           83                            301                           179                           0                             1117                          104                           12                            20                            16                            0                             152                           2921                          
Elizabeth 01                  2943                          355                           31                            217                           82                            5                             690                           659                           46                            394                           143                           3                             1245                          60                            2                             13                            5                             1                             81                            2016                          
Elizabeth 02                  2031                          483                           95                            221                           162                           3                             964                           311                           52                            179                           75                            0                             617                           39                            8                             14                            7                             0                             68                            1649                          
Elizabeth 03                  2369                          560                           124                           354                           100                           1                             1139                          342                           47                            280                           55                            0                             724                           71                            5                             15                            0                             0                             91                            1954                          
Elizabeth 04                  2324                          410                           46                            203                           50                            1                             710                           523                           55                            300                           51                            2                             931                           71                            10                            17                            3                             0                             101                           1742                          
Elizabeth 05                  2561                          644                           88                            271                           68                            4                             1075                          449                           69                            287                           55                            1                             861                           84                            13                            18                            4                             0                             119                           2055                          
East Piedmont 01              1977                          413                           36                            136                           110                           1                             696                           373                           34                            214                           113                           3                             737                           51                            2                             9                             8                             0                             70                            1503                          
Fair Oaks 01                  3167                          274                           61                            236                           32                            1                             604                           707                           62                            710                           87                            4                             1570                          44                            4                             24                            2                             0                             74                            2248                          
Fair Oaks 02                  3538                          304                           46                            192                           46                            0                             588                           909                           66                            530                           115                           5                             1625                          37                            3                             11                            4                             1                             56                            2269                          
Fair Oaks 04                  1844                          230                           51                            130                           25                            2                             438                           440                           42                            215                           42                            3                             742                           31                            2                             4                             1                             0                             38                            1218                          
Fair Oaks 05                  1511                          170                           20                            91                            16                            1                             298                           310                           46                            154                           34                            4                             548                           16                            1                             11                            1                             0                             29                            875                           
Fullers Park 01               2953                          705                           128                           233                           209                           6                             1281                          533                           73                            200                           176                           4                             986                           99                            7                             13                            15                            1                             135                           2402                          
Ford 01                       2728                          846                           89                            238                           390                           0                             1563                          255                           52                            118                           133                           1                             559                           57                            6                             5                             14                            0                             82                            2204                          
Frey 01                       2123                          595                           85                            168                           267                           0                             1115                          283                           28                            105                           98                            2                             516                           53                            6                             5                             7                             2                             73                            1704                          
Garrison Mill 01              2408                          673                           83                            299                           64                            0                             1119                          419                           53                            247                           41                            1                             761                           67                            9                             12                            2                             0                             90                            1970                          
Gritters 01                   3313                          772                           127                           282                           291                           1                             1473                          507                           49                            232                           172                           2                             962                           121                           6                             12                            14                            0                             153                           2588                          
Harmony Leland 01             4520                          248                           57                            84                            258                           0                             647                           968                           123                           626                           1038                          6                             2761                          47                            3                             5                             26                            0                             81                            3489                          
